"sha256","bytes","path"
"dcf5502440d891b29ea7255272e80d1a1bbf7602ce8e03e97d22c9ea7b775e57","997","calibration_partial/config/baseline_pass_weights.json"
"dcf5502440d891b29ea7255272e80d1a1bbf7602ce8e03e97d22c9ea7b775e57","997","calibration_partial/config/default_balanced.json"
"d3c6a203df97ffab49fd4d5ca268d6e303cdbaa055a8cd339c0446c606a958f7","994","calibration_partial/config/optimized_pass_weights.json"
"da69ac3bbae05e22d7bdb35e36b472eb9d0ca97f9ac260814a194612d39fdd8a","1227","calibration_partial/config/refit_pass_weights.json"
"81914309081c8957126ada3b862dcf3ca79c5a4fc45bce19eff7979d84aca415","916","calibration_partial/tables/table_ablation.csv"
"522568fa9c47e7352eb40b0cf0caa484b0267005c9200eb041b0fa336568669c","313","calibration_partial/tables/table_default_vs_optimized.csv"
"d33d97f84c5fbc738384d54734bd2645451235fccecff86567ddbb27003800d9","507","calibration_partial/tables/table_pass_metric_baseline.csv"
"cd49da30a1dfea44aff4ad626b3a798cf03d052dd7f5787d7d77d0c85f6a99b2","575","calibration_partial/tables/table_pass_weight_refit.csv"
"399b552de73d31a5467669c6e271e977c9b1e0fb1dd9766b7ced37c16655e93e","2602","calibration_partial/tables/table_random_sampling.csv"
"3a75a95f65a8b0a7a0426bedf0b3eae3907731797598f212307b10cf3d6d8847","1157","calibration_partial/tables/table_sensitivity.csv"
"913ec3a3f8f808f3416f28414df6bc79fe889c1a4b0c5761bbd49b9486536f7e","269","calibration_partial/tables/table_transfer.csv"
"1c35e815bcabda19b8e9bc3e30782946b128e8f428ae09504c55025a5f05db45","3674","CODE_PAPER_CORRESPONDENCE.md"
"6d08cb71c806ec7cb44ead6adf73c0bfa1e32c53d84dc0f6ef58f03075e9bc5d","2865","formal_evaluation/index.json"
"8f94ee3880b6786d2cced9d4f783770b019c2c9a8b431bbf266131bef04cf7f0","1015","formal_evaluation/llama/config/baseline_pass_weights.json"
"7ed750edf7e5b4d684cb9fdc27eedd3c3546135166aa81316add7be1e97fdf0b","1564","formal_evaluation/llama/config/baselines_experiment.json"
"55ee4eaa289376ecedeb2bfc98102e3628e12db4b286d0f27134e99040a018f8","1998","formal_evaluation/llama/config/baselines_paths.local.json"
"3e82a2081f41b7e0322cd4f9618aed1fcde98cb12b9abacf878828db63196508","1602","formal_evaluation/llama/config/ollvm_full_experiment.json"
"55ee4eaa289376ecedeb2bfc98102e3628e12db4b286d0f27134e99040a018f8","1998","formal_evaluation/llama/config/ollvm_full_paths.local.json"
"1fccad540bec81f0ca5be101fff7cf2983d14fe218ab7bd0d709ae9417289a19","1897","formal_evaluation/llama/config/optimized_experiment.json"
"8b23633cef3c2fbdae7e14d8d774e5d7f684ef7aa487aa6dcd5da8c9db340cf4","1148","formal_evaluation/llama/config/optimized_pass_weights.json"
"55ee4eaa289376ecedeb2bfc98102e3628e12db4b286d0f27134e99040a018f8","1998","formal_evaluation/llama/config/optimized_paths.local.json"
"7a631bfb90515575d7a8e10f1f3f582bd7e030cde2e819b252bb7c4a54a0b66a","12235","formal_evaluation/llama/config/run_formal_llama.py"
"d6a81b8f423136ed0388d85a4b264564892c4e0f324a38a9e50374fe3f5c02d4","380","formal_evaluation/llama/manifests/baselines_run_manifest.json"
"a7124bc633c9899773fa3fcf8e5f958c13547f4a872d4afd9b45c89736e38c3c","793","formal_evaluation/llama/manifests/ollvm_full_timeout_run_manifest.json"
"38f3c301a46072c9d37ceb23b9c7d9636ee0ee7bb3f9d128aeb860860910c230","378","formal_evaluation/llama/manifests/optimized_run_manifest.json"
"282b99ef1a6d97df41b391b3fa04a04bd1e50e464594c28263323be1e8005f02","13920","formal_evaluation/llama/raw/baselines_llama_bench_repetitions.csv"
"63c71c61c222f55945686edd4d81b4715006e93a30ceb08ad39cfad14aa78e1e","102","formal_evaluation/llama/raw/ollvm_full_llama_bench_repetitions.csv"
"3097340e3503e570ae2058dd43416a4524e81f85a6a96e71f840c696b59c681e","5077","formal_evaluation/llama/raw/optimized_llama_bench_repetitions.csv"
"aafd1996d9b345bd3a4dd9c20b021e04bc4af48532bab6dd712a54bc6ebaf15b","758","formal_evaluation/llama/tables/baselines_binaries.csv"
"e9cfd70372b91f084fa7a414168a6b220d9dea63042cf87bd25c1428504ecf41","633","formal_evaluation/llama/tables/baselines_builds.csv"
"6cf52589a1efd0f13dc7d77ccf2e70efb05c41aa70d0b653c752583e4e0c8481","442","formal_evaluation/llama/tables/baselines_summary.csv"
"0d1ba7b2efe799179e7ba5759d4fc554f0ee867e92ad7859912068709ca4a006","340","formal_evaluation/llama/tables/ollvm_full_timeout_builds.csv"
"dfd64b90f55f0ae382ede9874afc82b977c8851e370e682d230904102871d7f3","174","formal_evaluation/llama/tables/ollvm_full_timeout_summary.csv"
"e3b485f5590743c2ab92a00db84991875e1007c49914fa81b12aac15947964d8","290","formal_evaluation/llama/tables/optimized_binaries.csv"
"1643f1001e2c52a2a3d6385f9bd83141c843d7a0b24f85b5e3d0317936d8d467","357","formal_evaluation/llama/tables/optimized_builds.csv"
"a660383869acc4d7f9f0085f4dd54996ee51530fff6dc8219ccf2ad90b85b7ad","238","formal_evaluation/llama/tables/optimized_summary.csv"
"8f94ee3880b6786d2cced9d4f783770b019c2c9a8b431bbf266131bef04cf7f0","1015","formal_evaluation/llvm-test-suite/config/baseline_pass_weights.json"
"32d895a51a73f896622fb86a53f8b6c16a8dd83b9f9ba49f4c86cf16794d6e7e","3943","formal_evaluation/llvm-test-suite/config/benchmark_split.json"
"21ba35076482e633c43d1f20082566edd33ee68dbb638a5b70c8c37a9ffb3c1d","4636","formal_evaluation/llvm-test-suite/config/build_experiment_config.json"
"94e6f2097976a5d398ce7b567ddcc46e832af0a56265dc33926933f0fcb41ac5","7480","formal_evaluation/llvm-test-suite/config/CollectDecompilationMetrics.java"
"5d2f35b150a6ddbf75d709f7f635f91485254b1d78325326b36b7800654f1817","4399","formal_evaluation/llvm-test-suite/config/compiler_variants.json"
"c564c5caaef89c8fbd996b90f9e004cba518f8f80021ec2426c141278bd8ec56","1798","formal_evaluation/llvm-test-suite/config/experiment.json"
"e64d5fc1624c00acc3456fbd4aec4bc24bc997a4877df72c132051a2af88eec0","3277","formal_evaluation/llvm-test-suite/config/ghidra_calibration.json"
"169b49238e72087f3c2e88592491e6634d754bdea8592f9bd9af616734f524eb","1156","formal_evaluation/llvm-test-suite/config/ghidra_experiment.json"
"21ba35076482e633c43d1f20082566edd33ee68dbb638a5b70c8c37a9ffb3c1d","4636","formal_evaluation/llvm-test-suite/config/ghidra_experiment_config.json"
"8b23633cef3c2fbdae7e14d8d774e5d7f684ef7aa487aa6dcd5da8c9db340cf4","1148","formal_evaluation/llvm-test-suite/config/optimized_pass_weights.json"
"55ee4eaa289376ecedeb2bfc98102e3628e12db4b286d0f27134e99040a018f8","1998","formal_evaluation/llvm-test-suite/config/paths.local.json"
"93aaf69de533873bf6a3cdf104fac703a2cb95f03a6d692137cc3a4f597e7396","11843","formal_evaluation/llvm-test-suite/config/run_formal_testsuite_build.py"
"20a3b67dd063e5d6156e40c2d8536bb9b698e8da37b8adfe0ed70d85c06d04a6","7981","formal_evaluation/llvm-test-suite/config/run_formal_testsuite_ghidra.py"
"0b036565a894bf9e2f9d28b7a90089a09ba9a46b4b151124034a9fbe077fe0b4","8520","formal_evaluation/llvm-test-suite/config/run_testsuite_ollvm_supported.py"
